"varname","shortdesc","shrtname","longname","version","shrtcite","longcite","url"
"countries_gwid","Unique GW ID of country","GW","Gleditsch and Ward Interstate System Membership","v5","Gleditsch and Ward (1999)","Gleditsch, K. S. and M. D. Ward (1999). Interstate System Membership: A Revised List of the Independent States since 1816. International Interactions 25 (4).","http://privatewww.essex.ac.uk/~ksg/statelist.html"
"countryname","Name of country","GW","Gleditsch and Ward Interstate System Membership","v5","Gleditsch and Ward (1999)","Gleditsch, K. S. and M. D. Ward (1999). Interstate System Membership: A Revised List of the Independent States since 1816. International Interactions 25 (4).","http://privatewww.essex.ac.uk/~ksg/statelist.html"
"year","Year of observation (Country-Level)","NA","Not Applicable","NA","NA","NA","NA"
"egip_groups_count","Count variable indicating the number of EGIP groups in this country","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"excl_groups_count","Count variable indicating the number of MEG groups in this country","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regaut_groups_count","Count variable indicating number of groups with regional autonomy in this country.","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regaut_excl_groups_count","Count variable indicating number of MEG groups with regional autonomy in this country.","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regaut_egip_groups_count","Count variable indicating number of EGIP groups with regional autonomy in this country.","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"rlvt_groups_count","Count variable indicating the number of relevant groups in this country","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"actv_groups_count","Count variable indicating the number of active groups in this country","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"lpop","Sum of the ethnically relevant population in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"egippop","Sum of the population of all EGIP groups in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"legippop","EGIP population as a fraction of ethnically relevant population in this country (egippop / lpop)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"exclpop","Sum of the population of all MEG groups in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"lexclpop","MEG population as a fraction of ethnically relevant population in this country (exclpo / lpop)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"discrimpop","Sum of discriminated population in this country (as a fraction of total population).","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"ldiscrimpop","Sum of discriminated population as a fraction of ethnically relevant population in this country (discrimpop / lpop)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"maxexclpop","Size of the largest MEG group in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"lmaxexclpop","Size of the largest MEG group in this country as a fraction of ethnically relevant population (maxexclpop / lpop)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regautpop","Sum of population with regional autonomy in this country (as a fraction of total population).","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regautexclpop","Sum of population with regional autonomy and excluded (MEG) in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"regautegippop","Sum of population with regional autonomy and included (EGIP) in this country (as a fraction of total population)","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"cntr_relevance","“R” indicates countries where ethnicity is coded as being relevant at least once in the sample period; “P” indicates countries where only a placeholder group is coded","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"nstar","N*(0.5; 5);  see Cederman L.-E. and L. Girardin (2007). Beyond fractionalization: Mapping ethnicity onto nationalist insurgencies. The American Political Science Review 101(1): pp. 173-185.","EPR","Ethnic Power-Relations Dataset","v2021","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"onset_ko_flag","Binary flag indicating conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_terr_flag","Binary flag indicating territorial conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_gov_flag","Binary flag indicating governmental conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_eth_flag","Binary flag indicating ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_eth_flag","Binary flag indicating ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_noneth_flag","Binary flag indicating nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_noneth_flag","Binary flag indicating nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_flag","Binary flag indicating ongoing conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_flag","Binary flag indicating ongoing territorial conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_gov_flag","Binary flag indicating ongoing governmental conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_eth_flag","Binary flag indicating ongoing ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_eth_flag","Binary flag indicating ongoing ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_noneth_flag","Binary flag indicating ongoing non-ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_noneth_flag","Binary flag indicating ongoing non-ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_terr_eth_flag","Binary flag indicating ongoing territorial ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_eth_flag","Binary flag indicating ongoing territorial ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_gov_eth_flag","Binary flag indicating ongoing governmental ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_gov_eth_flag","Binary flag indicating ongoing governmental ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_terr_noneth_flag","Binary flag indicating ongoing territorial nonethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_noneth_flag","Binary flag indicating ongoing territorial nonethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_gov_noneth_flag","Binary flag indicating ongoing governmental nonethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_gov_noneth_flag","Binary flag indicating ongoing governmental nonethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_flag","Binary flag indicating conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_terr_flag","Binary flag indicating territorial conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_gov_flag","Binary flag indicating governmental conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_eth_flag","Binary flag indicating ethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_eth_flag","Binary flag indicating ethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_noneth_flag","Binary flag indicating nonethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_noneth_flag","Binary flag indicating nonethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_do_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / do option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_do_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / do option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"warhist","Count variable indicating number of conflict onsets this country has previously experienced","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"warhist_terr","Count variable indicating number of territorial conflict onsets this country has previously experienced","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"warhist_gov","Count variable indicating number of governmental conflict onsets this country has previously experienced","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"peaceyears","Years since country first appears in dataset or since the end of the last ongoing conflict episode","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"peaceyears_terr","Years since country first appears in dataset or since the end of the last ongoing territorial conflict episode","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"peaceyears_gov","Years since country first appears in dataset or since the end of the last ongoing governmental conflict episode","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
